"id","name","surf_km2","pop_res_perm_22","surf_km2_sbd3d","dens_hab_km2","dens_hab_km2_sbd3d","diff"
6002,"Brig-Glis",37.68,13642,37.6655305792939,362.048832271762,362.187915321694,-0.13908304993214
6004,"Eggerberg",6.09,317,6.04725697229779,52.0525451559934,52.4204612855321,-0.367916129538628
6007,"Naters",147.35,10484,147.220320426003,71.1503223617238,71.2129953912819,-0.062673029558141
6008,"Ried-Brig",47.61,2183,47.5680912403948,45.8517118252468,45.8921084087183,-0.0403965834714981
6009,"Simplon",91.13,290,91.0106550718737,3.18226709096895,3.18644009067926,-0.00417299971031504
6010,"Termen",18.65,1152,18.6541998037448,61.769436997319,61.7555302355418,0.0139067617772071
6011,"Zwischbergen",85.94,73,86.028347026272,0.849429834768443,0.848557510673857,0.000872324094586596
6021,"Ardon",20.35,3564,20.3937166901758,175.135135135135,174.759709284226,0.37542585090884
6022,"Chamoson",32.5,4178,32.4688508803706,128.553846153846,128.677174791112,-0.123328637265814
6023,"Conthey",84.99,8983,84.9437918382783,105.694787622073,105.752284017441,-0.057496395367906
6024,"Nendaz",85.89,6943,85.9625723635031,80.8359529630923,80.7677086562822,0.0682443068100866
6025,"Vétroz",10.43,6510,10.4333324492869,624.161073825503,623.961714211929,0.199359613574757
6032,"Bourg-Saint-Pierre",89.81,218,89.801985053109,2.42734662064358,2.42756326456564,-0.000216643922056559
6033,"Liddes",58.68,745,58.6491688857,12.6959781867757,12.7026522993346,-0.00667411255886563
6034,"Orsières",164.89,3237,164.928207093277,19.6312693310692,19.6267215720673,0.0045477590018983
6035,"Sembrancher",17.73,1050,17.6815677707761,59.2216582064298,59.3838744172579,-0.162216210828099
6037,"Val de Bagnes",301.94,10693,301.905126602731,35.414320725972,35.418411473584,-0.00409074761195427
6052,"Bellwald",13.98,338,13.9570161643184,24.1773962804006,24.2172106144082,-0.0398143340076729
6054,"Binn",65.07,128,65.0869480956219,1.96711234055632,1.9666001209943,0.000512219562021077
6056,"Ernen",35.37,528,35.3708558197881,14.9279050042409,14.9275438143233,0.000361189917558846
6057,"Fiesch",11.01,925,11.035345861781,84.0145322434151,83.8215685838696,0.192963659545455
6058,"Fieschertal",172.75,351,172.824172076529,2.03183791606368,2.03096589894018,0.000872017123495272
