"LND_ISOC","total","total_mio","taille_adobe"
"DE",1331439154.07,1331,17.5
"US",1202280125.59,1202,16.5
"FR",498517856.13,499,10
"GB",270410755.12,270,7
"IT",269006432.5,269,7
"CN",190477855.71,190,5.8
"BE",153810072.15,154,5.1
"BR",138603401.34,139,4.8
"SE",124375151.41,124,4.5
"JP",92522377.85,93,3.8
"IN",91886726.32,92,3.8
"NL",88485551.69,88,3.7
"KR",84173103.74,84,3.6
"IE",83732415.94,84,3.6
"ES",81069982.76,81,3.5
"HU",66362088.86,66,3.2
"AR",65308064.83,65,3.1
"AT",49950165.43,50,2.7
"SG",49425051.28,49,2.7
"MX",38817014.75,39,2.3
"PL",32333399.96,32,2.1
"CA",30182600.52,30,2
"SK",28091624.23,28,1.9
"CZ",25485593.18,25,1.8
"TW",21109961.14,21,1.6
"PT",20078882.78,20,1.6
"TH",18567042.83,19,1.5
"HK",18469538.89,18,1.5
"CO",16895538.46,17,1.4
"DK",16679817.87,17,1.4
