pays,continent,mois,nuitees
Suisse,Suisse,janvier,264163
Suisse,Suisse,fevrier,347821
Suisse,Suisse,mars,294024
Suisse,Suisse,avril,178646
Suisse,Suisse,mai,91895
Suisse,Suisse,juin,156892
Suisse,Suisse,juillet,272926
Suisse,Suisse,aout,276915
Suisse,Suisse,septembre,219708
Suisse,Suisse,octobre,183830
Suisse,Suisse,novembre,87300
Suisse,Suisse,decembre,198499
Allemagne,Europe,janvier,22843
Allemagne,Europe,fevrier,24175
Allemagne,Europe,mars,35268
Allemagne,Europe,avril,27748
Allemagne,Europe,mai,9502
Allemagne,Europe,juin,23132
Allemagne,Europe,juillet,41479
Allemagne,Europe,aout,43813
Allemagne,Europe,septembre,26031
Allemagne,Europe,octobre,9815
Allemagne,Europe,novembre,4742
Allemagne,Europe,decembre,21060
France,Europe,janvier,11608
France,Europe,fevrier,26566
France,Europe,mars,18121
France,Europe,avril,8532
France,Europe,mai,4862
France,Europe,juin,9864
France,Europe,juillet,22287
France,Europe,aout,27107
France,Europe,septembre,11453
France,Europe,octobre,7904
France,Europe,novembre,4517
France,Europe,decembre,16745
Italie,Europe,janvier,4215
Italie,Europe,fevrier,4922
Italie,Europe,mars,4771
Italie,Europe,avril,3844
Italie,Europe,mai,1800
Italie,Europe,juin,3054
Italie,Europe,juillet,5780
Italie,Europe,aout,9465
Italie,Europe,septembre,3837
Italie,Europe,octobre,3160
Italie,Europe,novembre,1730
Italie,Europe,decembre,5720
Autriche,Europe,janvier,1071
Autriche,Europe,fevrier,970
Autriche,Europe,mars,1513
Autriche,Europe,avril,1359
Autriche,Europe,mai,1184
Autriche,Europe,juin,2375
Autriche,Europe,juillet,4350
Autriche,Europe,aout,5761
Autriche,Europe,septembre,2756
Autriche,Europe,octobre,877
Autriche,Europe,novembre,362
Autriche,Europe,decembre,827
Royaume-Uni,Europe,janvier,29610
Royaume-Uni,Europe,fevrier,36474
Royaume-Uni,Europe,mars,34097
Royaume-Uni,Europe,avril,21287
Royaume-Uni,Europe,mai,4475
Royaume-Uni,Europe,juin,9575
Royaume-Uni,Europe,juillet,15843
Royaume-Uni,Europe,aout,16459
Royaume-Uni,Europe,septembre,11102
Royaume-Uni,Europe,octobre,4469
Royaume-Uni,Europe,novembre,2511
Royaume-Uni,Europe,decembre,24345
Irlande,Europe,janvier,893
Irlande,Europe,fevrier,1191
Irlande,Europe,mars,1143
Irlande,Europe,avril,633
Irlande,Europe,mai,179
Irlande,Europe,juin,464
Irlande,Europe,juillet,764
Irlande,Europe,aout,744
Irlande,Europe,septembre,540
Irlande,Europe,octobre,259
Irlande,Europe,novembre,258
Irlande,Europe,decembre,1121
Pays-Bas,Europe,janvier,12012
Pays-Bas,Europe,fevrier,13461
Pays-Bas,Europe,mars,13243
Pays-Bas,Europe,avril,5376
Pays-Bas,Europe,mai,2968
Pays-Bas,Europe,juin,5124
Pays-Bas,Europe,juillet,9315
Pays-Bas,Europe,aout,9727
Pays-Bas,Europe,septembre,5176
Pays-Bas,Europe,octobre,3088
Pays-Bas,Europe,novembre,2053
Pays-Bas,Europe,decembre,8390
Belgique,Europe,janvier,6033
Belgique,Europe,fevrier,13694
Belgique,Europe,mars,18488
Belgique,Europe,avril,7748
Belgique,Europe,mai,1396
Belgique,Europe,juin,6261
Belgique,Europe,juillet,22317
Belgique,Europe,aout,21245
Belgique,Europe,septembre,4785
Belgique,Europe,octobre,1156
Belgique,Europe,novembre,567
Belgique,Europe,decembre,12702
Luxembourg,Europe,janvier,2130
Luxembourg,Europe,fevrier,3619
Luxembourg,Europe,mars,1226
Luxembourg,Europe,avril,996
Luxembourg,Europe,mai,304
Luxembourg,Europe,juin,291
Luxembourg,Europe,juillet,499
Luxembourg,Europe,aout,1090
Luxembourg,Europe,septembre,424
Luxembourg,Europe,octobre,104
Luxembourg,Europe,novembre,81
Luxembourg,Europe,decembre,1391
Danemark,Europe,janvier,2099
Danemark,Europe,fevrier,4381
Danemark,Europe,mars,2630
Danemark,Europe,avril,1579
