SEX;AGE;AN;pop
1;0;2020;1616
1;1;2020;1574
1;2;2020;1767
1;3;2020;1693
1;4;2020;1704
1;5;2020;1699
1;6;2020;1725
1;7;2020;1738
1;8;2020;1755
1;9;2020;1764
1;10;2020;1751
1;11;2020;1767
1;12;2020;1793
1;13;2020;1695
1;14;2020;1761
1;15;2020;1780
1;16;2020;1687
1;17;2020;1669
1;18;2020;1826
1;19;2020;1925
1;20;2020;2029
1;21;2020;2031
1;22;2020;2042
1;23;2020;2079
1;24;2020;2117
1;25;2020;2162
1;26;2020;2248
1;27;2020;2265
1;28;2020;2412
1;29;2020;2410
1;30;2020;2447
1;31;2020;2410
1;32;2020;2482
1;33;2020;2406
1;34;2020;2364
1;35;2020;2341
1;36;2020;2364
1;37;2020;2302
1;38;2020;2333
1;39;2020;2435
1;40;2020;2392
1;41;2020;2238
1;42;2020;2260
1;43;2020;2185
1;44;2020;2202
1;45;2020;2240
1;46;2020;2305
1;47;2020;2430
1;48;2020;2446
1;49;2020;2505
1;50;2020;2481
1;51;2020;2516
1;52;2020;2628
1;53;2020;2644
1;54;2020;2707
1;55;2020;2737
1;56;2020;2801
1;57;2020;2728
1;58;2020;2608
1;59;2020;2584
1;60;2020;2450
1;61;2020;2307
1;62;2020;2244
1;63;2020;2184
1;64;2020;2036
1;65;2020;1970
1;66;2020;1916
1;67;2020;1719
1;68;2020;1777
1;69;2020;1789
1;70;2020;1809
1;71;2020;1791
1;72;2020;1786
1;73;2020;1740
1;74;2020;1602
1;75;2020;1527
1;76;2020;1454
1;77;2020;1374
1;78;2020;1217
1;79;2020;1091
1;80;2020;896
1;81;2020;884
1;82;2020;828
1;83;2020;734
1;84;2020;632
1;85;2020;612
1;86;2020;511
1;87;2020;466
1;88;2020;391
1;89;2020;309
1;90;2020;264
1;91;2020;188
1;92;2020;144
1;93;2020;112
1;94;2020;74
1;95;2020;46
1;96;2020;21
1;97;2020;27
1;98;2020;12
1;99;2020;9
1;100;2020;7
2;0;2020;1577
2;1;2020;1574
2;2;2020;1623
2;3;2020;1618
2;4;2020;1718
2;5;2020;1655
2;6;2020;1668
2;7;2020;1640
2;8;2020;1647
2;9;2020;1711
2;10;2020;1758
2;11;2020;1647
2;12;2020;1603
2;13;2020;1638
2;14;2020;1651
2;15;2020;1685
2;16;2020;1576
